"method";"niter";"exetime";"timegain";"loglik"
"BL";165;0,360000000000582;-0,277777777773286;-315,058733909011
"PG";74;0,900000000001455;0,488888888890685;-315,056663333652
"PQ";41;0,459999999999127;0;-315,056159011441
