"method";"niter";"exetime";"loglik"
"BL";59,6896551724138;111,869999999995;-348,154171873513
"PG";35,7241379310345;66,5;-348,149839801981
"PQ";25,9310344827586;47,3399999999674;-348,148354206733
"NR";17,7586206896552;33,1600000000326;-348,148249735133
