"method";"niter";"exetime";"timegain";"loglik"
"BL";792;51,2700000000004;0,771796372147442;-0,939228973661596
"PG";336;22,0200000000004;0,468664850136217;-0,937769188973205
"PQ";180;11,7000000000007;0;-0,937448309657485
