"alpha";"method";"niter";"exetime";"timegain";"loglik"
1;"BL";8720;710,600000000006;0,739642555586838;-13,4589375644949
1;"PG";4645;306,139999999999;0,395668648330845;-13,4571711244992
1;"PQ";2826;185,009999999995;0;-13,4564891747803
