"method";"niter";"exetime";"timegain";"loglik"
"BL";1167;75,4800000000105;0,682299947005927;-1,07603697167247
"PG";670;43,8999999999942;0,45375854214125;-1,07139351352124
"PQ";376;23,9799999999959;0;-1,06999136605602
