"alpha";"method";"niter";"exetime";"timegain";"loglik"
0;"BL";4028;6,18999999999869;0,594507269790157;-6,31277498049571
0;"PG";2172;3,15000000000146;0,203174603175479;-6,31063596176739
0;"PQ";1296;2,5099999999984;0;-6,30985851151951
