"alpha";"method";"niter";"exetime";"timegain";"loglik"
0,8;"BL";1813;283,76;0,696786016351847;-4,06101609955615
0,8;"PG";781;122,24;0,296138743455499;-4,04303422187341
0,8;"PQ";431;86,04;0;-4,0379009813523
