"alpha";"method";"niter";"exetime";"timegain";"loglik"
0;"BL";3913;121,46;0,476041495142435;-13,6691788525302
0;"PG";2146;89,6100000000001;0,289811404977126;-13,6563742940937
0;"PQ";1288;63,6399999999999;0;-13,6516549647636
