"method";"niter";"exetime";"timegain";"loglik"
"BL";1219;23,72;0,674536256323777;-0,260384679308294
"PG";580;11,1499999999999;0,307623318385639;-0,242839906982694
"PQ";310;7,72000000000003;0;-0,2365007487792
