"method";"niter";"exetime";"loglik"
"BL";165;0,390000000130385;-315,058733909023
"PG";74;0,909999999916181;-315,056663333414
"PQ";41;0,46999999997206;-315,056157627797
"NR";9;0,120000000111759;-315,055896971744
