"method";"niter";"exetime";"loglik"
"BL";35,6896551724138;4;-363,474344991138
"PG";21,6206896551724;8,33000000007451;-363,472312980136
"PQ";12,448275862069;5,39000000013039;-363,471869128142
"NR";3,62068965517241;2,71999999997206;-363,471719205768
