"method";"niter";"exetime";"loglik"
"BL";74;18,5300000000279;-336,943167684814
"PG";37;49,2199999999721;-336,942626185138
"PQ";23;30,2299999999814;-336,942496539011
"NR";8;15,4099999999162;-336,942369832487
