"method";"niter";"exetime";"loglik"
"BL";792;12,2499999999534;-1,7810716169879
"PG";358;5,66000000007916;-1,77125931774173
"PQ";175;3,92699999997858;-1,7684742843488
"NR";11;0,823999999975786;-1,76722332265116
