"method";"niter";"exetime";"loglik"
"BL";93;4,89000000001397;-332,730522159338
"PG";49;2,57000000000698;-332,72984182683
"PQ";31;1,89000000001397;-332,729839623515
"NR";17;0,929999999993015;-332,729998233554
