"method";"niter";"exetime";"timegain";"loglik"
"BL";2483;14,8000000000466;0,845945945944543;-480,302527311303
"PG";690;4,21999999997206;0,459715639800229;-479,9467158247
"PQ";357;2,28000000002794;0;-479,915335360503
