"method";"niter";"exetime";"timegain";"loglik"
"BL";1236;1,77999999991152;0,438202247163087;-493,955861189138
"PG";264;3,08000000007451;0,675324675332529;-493,859535832472
"PQ";79;1;0;-493,848985041656
