"method";"niter";"exetime";"loglik"
"BL";70;0,0149999999986903;-69,4184621092055
"PG";32;0,0319999999992433;-69,4183684864058
"PQ";20;0,0160000000003492;-69,4183503795952
"NR";7;0,00899999999892316;-69,418334546506
