"method";"niter";"exetime";"loglik"
"BL";395;0,105000000000291;-0,625570115012596
"PG";172;0,0600000000005821;-0,62511178200338
"PQ";88;0,0389999999999418;-0,624993205021105
"NR";10;0,00299999999988358;-0,624930726267263
