"method";"niter";"exetime";"loglik"
"BL";70;0,0129999999997381;-69,4184621092055
"PG";32;0,0299999999995634;-69,4183684864058
"PQ";20;0,0210000000006403;-69,4183503795952
"NR";7;0,0069999999992433;-69,418334546506
