"alpha";"method";"niter";"exetime";"loglik"
0,2;"BL";39,7241379310345;63,6600000000326;-361,924370738683
0,2;"PG";25,4827586206897;46,4499999999534;-361,922235891238
0,2;"PQ";17,9655172413793;32,25;-361,921692607606
0,2;"NR";11,6551724137931;20,3600000001024;-361,921730455976
