"method";"niter";"exetime";"timegain";"loglik"
"BL";2439;135,25;0,589870609981534;-330,490934679119
"PG";1412;84,1000000000022;0,3404280618312;-330,483749693364
"PQ";919;55,4699999999975;0;-330,481814798801
