"alpha";"method";"niter";"exetime";"loglik"
0,05;"BL";37,9655172413793;75,5699999999488;-363,198837299536
0,05;"PG";24,7241379310345;50,8300000000745;-363,196940330709
0,05;"PQ";17,0689655172414;34,4499999999534;-363,196523529037
0,05;"NR";10,9310344827586;18,1500000000233;-363,196570368182
