"alpha";"method";"niter";"exetime";"loglik"
0,35;"BL";41,9655172413793;90,9399999999441;-360,188873330813
0,35;"PG";26,8965517241379;55,5700000000652;-360,186434149915
0,35;"PQ";19,5862068965517;41,9799999999814;-360,185743320233
0,35;"NR";11,7586206896552;25,7999999999302;-360,185852907455
