"method";"niter";"exetime";"loglik"
"BL";38;2,69000000006054;-353,454781110234
"PG";22;1,30999999993946;-353,454737333519
"PQ";18;1,5;-353,454996191031
"NR";9;0,520000000018626;-353,454654233232
