"method";"niter";"exetime";"loglik"
"BL";48;3,14000000001397;-348,966149928608
"PG";27;1,82000000006519;-348,96603452125
"PQ";20;1,5;-348,966362137204
"NR";11;0,679999999934807;-348,9659615877
