"method";"niter";"exetime";"loglik"
"BL";42;2,36000000010245;-351,466042616449
"PG";24;1,3399999999674;-351,465962721794
"PQ";19;1,18999999994412;-351,466258264529
"NR";10;0,510000000009313;-351,465875696075
