"method";"niter";"exetime";"loglik"
"BL";56;4,10999999998603;-345,653068545507
"PG";30;2,26000000000931;-345,652945678707
"PQ";22;1,90999999991618;-345,653301453581
"NR";12;1,11999999999534;-345,652842499127
