"alpha";"method";"niter";"exetime";"loglik"
0,65;"BL";50,7586206896552;113,890000000014;-354,280725811828
0,65;"PG";32,0344827586207;74,0799999999581;-354,277287532229
0,65;"PQ";22,7586206896552;53,5500000000466;-354,276285259585
0,65;"NR";14,9655172413793;35,9699999999721;-354,27627905753
