"method";"niter";"exetime";"loglik"
"BL";68;4,19000000006054;-340,875868422238
"PG";37;2,8399999999674;-340,875518693151
"PQ";25;2,32000000006519;-340,876075020658
"NR";13;1,19999999995343;-340,875561548102
