"method";"niter";"exetime";"timegain";"loglik"
"BL";1731;193,02;0,530307740130558;-348,154171873512
"PG";1036;128,350000000002;0,293650175301922;-348,149839801981
"PQ";751;90,6599999999999;0;-348,148353993136
